点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
214,0.000,0.000,189.459,0.551,-64.802,11.038,159.828,143.837,-29.837,-64.323,137.927,99519.945,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.202,0.7685,,,,,
215,0.000,0.000,189.039,0.617,-68.371,23.158,164.366,132.198,-41.930,-64.990,138.533,99520.866,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.179,0.8541,,,,,
216,0.000,0.000,188.303,0.640,-71.861,35.648,167.718,119.192,-52.901,-66.655,138.446,99521.252,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.142,0.9262,,,,,
217,0.000,0.000,190.558,0.766,-70.543,53.714,171.871,104.691,-59.530,-65.282,141.795,99522.633,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.245,1.4670,,,,,
218,0.000,0.000,191.260,0.675,-71.257,69.130,173.097,87.174,-67.989,-67.547,142.759,99521.492,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.283,0.5842,,,,,
219,0.000,0.000,190.934,0.639,-70.155,84.335,172.150,68.986,-73.970,-69.339,143.227,99523.128,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.269,0.2936,,,,,
220,0.000,0.000,190.492,0.497,-64.678,100.471,171.951,50.615,-76.126,-69.345,143.432,99522.994,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.255,0.5167,,,,,
221,0.000,0.000,189.935,0.652,-59.210,114.271,169.072,30.366,-78.926,-73.612,142.127,99521.325,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.221,0.2098,,,,,
222,0.000,0.000,191.117,0.507,-49.639,129.911,166.467,10.231,-79.685,-79.142,142.832,99518.471,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.285,0.4431,,,,,
223,0.000,0.000,188.155,0.605,-42.082,139.428,157.564,-10.406,-82.534,-85.827,139.594,99519.516,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.138,0.4047,,,,,
224,0.000,0.000,189.670,0.731,-27.668,150.780,148.851,-28.367,-81.631,-90.690,139.023,99520.594,31.3,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.205,0.1454,,,,,P2-P3
