侧滑角α,迎角β,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
-25.000,5.000,0.240,4055.233,-29.717,185.967,3196.067,2434.450,-705.450,-2065.883,-2232.533,2771.267,-2.175,0.301,-0.314,-0.040,98878.000,28.000
-20.000,5.000,0.240,4051.833,-31.333,534.000,2834.617,2066.150,-479.933,-1634.317,-1767.033,3287.650,-1.583,0.293,-0.187,-0.071,98871.000,28.000
-15.000,5.000,0.240,4049.400,-29.800,798.583,2387.133,1610.750,-353.833,-1264.333,-1288.383,3662.650,-1.130,0.304,-0.095,-0.085,98869.000,28.000
-10.000,5.000,0.240,4042.583,-39.400,998.133,1855.667,1087.250,-244.600,-841.317,-724.800,3903.517,-0.734,0.317,-0.034,-0.097,98865.000,28.000
-5.000,5.000,0.240,4042.933,-30.833,1133.450,1260.050,519.417,-173.367,-355.550,-93.050,4013.800,-0.354,0.332,-0.007,-0.101,98871.000,28.000
0.000,5.000,0.240,4044.567,-32.550,1192.583,613.967,-54.150,-164.867,143.333,567.183,4034.833,0.024,0.347,-0.002,-0.102,98875.000,28.000
5.000,5.000,0.240,4036.483,-33.300,1167.267,-61.150,-564.117,-281.783,616.767,1221.100,4003.217,0.389,0.365,-0.008,-0.094,98871.000,28.000
10.000,5.000,0.240,4034.333,-34.217,1066.100,-729.717,-1067.583,-443.117,1125.233,1832.683,3881.517,0.766,0.378,-0.038,-0.081,98870.000,28.000
15.000,5.000,0.240,4034.367,-30.583,889.083,-1324.050,-1464.117,-643.867,1592.417,2375.283,3632.000,1.149,0.392,-0.099,-0.066,98868.000,28.000
20.000,5.000,0.240,4036.817,-14.717,669.917,-1734.283,-1788.783,-840.083,2009.683,2846.183,3259.700,1.578,0.425,-0.192,-0.051,98891.000,28.000
25.000,5.000,0.240,4042.317,8.933,416.183,-2024.400,-2078.267,-1087.467,2356.117,3234.600,2775.583,2.120,0.498,-0.314,-0.032,98914.000,28.000
30.000,5.000,0.240,4051.567,7.883,42.800,-2506.700,-2526.383,-1539.750,2584.050,3519.783,2136.100,2.913,0.622,-0.474,0.020,98913.000,28.000
-30.000,10.000,0.240,4028.767,-33.017,397.483,3711.083,2087.783,-1671.233,-2723.333,-2707.567,1944.350,-3.094,0.919,-0.513,0.029,98877.500,28.000
-25.000,10.000,0.239,4026.200,-37.383,815.550,3465.167,1862.383,-1334.600,-2331.467,-2223.583,2582.383,-2.246,0.789,-0.355,-0.020,98875.000,28.000
-20.000,10.000,0.239,4024.533,-35.767,1173.567,3116.333,1531.550,-1075.983,-1901.650,-1676.633,3105.433,-1.632,0.722,-0.226,-0.057,98872.000,28.000
-15.000,10.000,0.239,4020.267,-32.967,1453.133,2669.867,1095.783,-955.250,-1546.133,-1120.800,3491.283,-1.152,0.704,-0.131,-0.074,98877.000,28.000
-10.000,10.000,0.239,4019.500,-33.300,1653.433,2147.217,607.617,-868.200,-1201.033,-529.317,3746.083,-0.752,0.702,-0.067,-0.083,98872.000,28.000
-5.000,10.000,0.239,4016.967,-34.417,1778.750,1540.617,68.333,-816.483,-782.783,114.550,3878.500,-0.369,0.708,-0.034,-0.087,98874.000,28.000
0.000,10.000,0.239,4014.550,-34.617,1828.850,881.967,-448.800,-834.650,-329.367,784.917,3918.233,0.004,0.719,-0.024,-0.086,98877.000,28.000
5.000,10.000,0.239,4012.700,-31.233,1808.783,194.017,-946.833,-926.833,123.183,1441.367,3877.250,0.372,0.735,-0.033,-0.078,98874.000,28.000
10.000,10.000,0.239,4013.700,-32.050,1707.433,-500.283,-1387.850,-1057.333,584.800,2054.900,3737.750,0.746,0.750,-0.068,-0.066,98870.000,28.000
15.000,10.000,0.239,4015.450,-31.750,1536.317,-1065.800,-1647.733,-1221.617,1021.150,2596.233,3481.183,1.115,0.780,-0.132,-0.058,98878.000,28.000
20.000,10.000,0.239,4020.917,-18.050,1305.783,-1575.167,-1982.850,-1372.133,1428.600,3070.917,3100.167,1.575,0.836,-0.228,-0.041,98889.667,28.000
25.000,10.000,0.240,4032.583,8.867,1014.433,-2061.267,-2318.900,-1652.033,1755.867,3455.283,2601.833,2.155,0.946,-0.356,-0.006,98918.000,28.000
30.000,10.000,0.240,4037.600,6.617,641.317,-2514.950,-2640.400,-2107.100,1951.933,3728.717,1962.417,2.952,1.164,-0.515,0.041,98913.000,28.000
-30.000,15.000,0.239,4020.333,-30.483,987.033,3856.400,1421.917,-2255.200,-2954.133,-2795.050,1672.133,-3.245,1.542,-0.580,0.064,98873.000,28.000
-25.000,15.000,0.239,4024.300,-28.750,1420.600,3642.683,1227.083,-1940.533,-2634.467,-2249.267,2305.183,-2.352,1.326,-0.424,0.015,98878.000,28.000
-20.000,15.000,0.239,4021.083,-31.867,1776.600,3310.017,935.267,-1661.200,-2253.117,-1636.167,2829.267,-1.707,1.196,-0.294,-0.027,98884.000,28.000
-15.000,15.000,0.239,4023.950,-34.800,2059.517,2875.600,554.067,-1481.217,-1867.417,-995.850,3230.767,-1.195,1.127,-0.195,-0.056,98876.000,28.000
-10.000,15.000,0.239,4021.900,-31.533,2257.567,2349.433,109.767,-1373.783,-1541.333,-360.550,3503.267,-0.772,1.091,-0.128,-0.067,98881.500,28.000
-5.000,15.000,0.239,4022.067,-30.967,2377.317,1759.900,-371.133,-1348.450,-1201.033,281.350,3653.383,-0.392,1.084,-0.091,-0.069,98881.000,28.000
0.000,15.000,0.239,4020.050,-30.200,2425.283,1094.200,-868.450,-1403.633,-804.133,960.550,3699.767,-0.012,1.095,-0.079,-0.065,98879.000,28.000
