点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
79,-30.000,0.000,221.990,-0.508,-12.981,-81.639,-41.486,-37.139,168.467,184.088,137.319,99237.367,28.4,10,2.5563,0.0738,-0.3805,-0.1366,0.0566,19.690,0.6424,,,,,
80,-25.000,0.000,221.648,-0.632,16.249,-54.642,-43.442,-3.638,167.685,176.168,162.844,99236.891,28.5,10,2.1302,0.1031,-0.2646,-0.1966,0.0565,19.680,0.2587,,,,,
81,-20.000,0.000,218.734,-0.388,42.715,-25.237,-23.474,25.746,155.269,162.635,183.615,99237.273,28.5,10,1.6622,0.1035,-0.1603,-0.2586,0.0561,19.541,1.1271,,,,,
82,-15.000,0.000,222.346,-0.525,65.171,4.642,3.261,52.248,145.819,150.675,202.279,99236.547,28.5,10,1.2625,0.0810,-0.0900,-0.3178,0.0566,19.707,1.1083,,,,,
83,-10.000,0.000,221.325,-0.442,78.196,27.830,22.837,66.031,129.050,133.804,211.014,99237.344,28.5,10,0.9093,0.0843,-0.0465,-0.3460,0.0565,19.658,1.5559,,,,,
84,-5.000,0.000,220.563,-0.575,84.663,53.226,45.066,76.442,111.086,115.086,216.882,99238.078,28.5,10,0.5431,0.0701,-0.0166,-0.3686,0.0564,19.631,0.7705,,,,,
85,0.000,0.000,220.429,-0.586,89.386,78.821,68.152,81.105,90.634,93.637,219.869,99237.929,28.5,10,0.1581,0.0740,-0.0025,-0.3810,0.0564,19.626,0.6485,,,,,
86,5.000,0.000,219.869,-0.377,87.221,97.565,88.047,80.078,69.850,70.847,219.806,99238.905,28.5,10,-0.1885,0.0601,-0.0003,-0.3752,0.0563,19.592,0.5724,,,,,
87,10.000,0.000,221.258,-0.467,79.198,118.094,111.531,75.695,46.927,49.752,219.960,99236.666,28.5,10,-0.5492,0.0391,-0.0059,-0.3638,0.0565,19.658,0.9437,,,,,
88,15.000,0.000,220.768,-0.592,62.326,135.939,130.750,62.783,19.621,22.051,213.996,99237.121,28.5,10,-0.9165,0.0158,-0.0306,-0.3290,0.0564,19.642,0.4918,,,,,
89,20.000,0.000,220.148,-0.560,38.481,151.688,145.926,38.476,-14.662,-16.524,202.926,99235.565,28.5,10,-1.3029,0.0089,-0.0780,-0.2618,0.0563,19.613,0.7012,,,,,
90,25.000,0.000,219.229,-0.412,7.641,165.083,158.085,5.912,-52.748,-60.911,185.817,99237.582,28.5,10,-1.6967,0.0051,-0.1521,-0.1711,0.0562,19.566,0.2734,,,,,
91,30.000,0.000,221.704,-0.544,-29.297,177.247,168.999,-33.794,-94.461,-108.234,164.708,99237.875,28.5,10,-2.0947,0.0076,-0.2565,-0.0628,0.0565,19.682,1.0051,,,,,
92,-30.000,5.000,222.321,-0.510,16.506,-94.034,-46.614,-66.059,142.515,198.540,135.632,99237.823,28.5,10,2.5171,0.5241,-0.3890,-0.1151,0.0566,19.708,0.4386,,,,,
93,-25.000,5.000,222.356,-0.588,48.326,-64.495,-49.700,-33.271,140.644,191.810,161.400,99237.075,28.6,10,2.1048,0.5430,-0.2734,-0.1771,0.0566,19.713,0.8837,,,,,
94,-20.000,5.000,222.085,-0.650,73.262,-28.197,-29.392,1.164,133.767,179.715,184.219,99236.617,28.6,10,1.6586,0.4938,-0.1700,-0.2501,0.0566,19.704,0.7569,,,,,P7-P6
95,-15.000,5.000,223.507,-0.455,91.728,3.632,-6.768,27.031,123.411,164.817,200.418,99236.002,28.6,10,1.2638,0.4538,-0.1031,-0.3026,0.0568,19.759,0.9173,,,,,
96,-10.000,5.000,221.323,-0.528,102.330,30.413,11.524,41.706,107.694,145.683,209.346,99233.847,28.6,10,0.8968,0.4362,-0.0540,-0.3324,0.0565,19.666,0.6740,,,,,
